Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Region_Code,Model_Code,Source_Type_Code
2021,9,Europe,Cybertruck,11351.0,12445.0,76738.6,75,448,762.79,Interpolated (Month),6959,1,0,1
2025,4,North America,Model Y,12062.0,13191.0,66633.49,120,690,1248.42,Official (Quarter),14114,3,4,2
2019,8,Asia,Model X,8889.0,9950.0,91679.04,60,356,474.67,Estimated (Region),7931,0,3,0
2016,12,Europe,Model S,10571.0,11269.0,71163.33,82,461,730.98,Estimated (Region),5335,1,2,0
2020,2,North America,Model Y,8304.0,8784.0,114079.13,60,352,438.45,Interpolated (Month),9061,3,4,1
2021,4,Middle East,Model X,12967.0,13501.0,52295.99,120,685,1332.36,Estimated (Region),13741,2,3,0
2025,11,Asia,Model S,9181.0,9523.0,66418.09,120,671,924.07,Estimated (Region),9897,0,2,0
2023,7,Middle East,Cybertruck,4551.0,5027.0,85436.17,100,551,376.14,Interpolated (Month),14096,2,0,1
2019,8,North America,Cybertruck,13167.0,15140.0,64800.19,100,563,1111.95,Interpolated (Month),10954,3,0,1
2021,6,Europe,Model 3,8537.0,9533.0,92600.01,120,718,919.43,Official (Quarter),7483,1,1,2
2016,5,Middle East,Model Y,15206.0,15358.0,86288.56,120,669,1525.92,Estimated (Region),11849,2,4,0
2021,9,Middle East,Model S,13107.0,14700.0,59452.67,60,344,676.32,Estimated (Region),14262,2,2,0
2024,3,Middle East,Model S,11386.0,12208.0,78046.05,82,491,838.58,Official (Quarter),12853,2,2,2
2020,12,North America,Model X,935.0,1063.0,75780.68,60,341,47.83,Interpolated (Month),7602,3,3,1
2020,9,Middle East,Model Y,10233.0,10752.0,83140.45,75,435,667.7,Interpolated (Month),13425,2,4,1
2024,4,North America,Model X,13755.0,14856.0,65278.86,75,418,862.44,Interpolated (Month),5841,3,3,1
2018,5,Middle East,Model 3,11601.0,11864.0,83419.13,120,696,1211.14,Estimated (Region),9980,2,1,0
2019,6,Europe,Model X,13504.0,15384.0,94876.03,82,463,937.85,Estimated (Region),9303,1,3,0
2016,2,Asia,Cybertruck,10601.0,11391.0,93249.31,100,593,942.96,Official (Quarter),9847,0,0,2
2022,11,Middle East,Model 3,8164.0,9072.0,102969.34,60,350,428.61,Estimated (Region),5808,2,1,0
2018,8,Europe,Model S,15247.0,15861.0,63905.12,120,674,1541.47,Official (Quarter),6676,1,2,2
2015,6,North America,Model 3,12491.0,12919.0,97019.05,60,348,652.03,Estimated (Region),7297,3,1,0
2022,2,Middle East,Model Y,15256.0,16088.0,108329.2,60,343,784.92,Estimated (Region),11634,2,4,0
2015,6,Europe,Model X,12870.0,14534.0,116466.44,120,668,1289.57,Estimated (Region),14119,1,3,0
2024,12,Middle East,Cybertruck,12805.0,13581.0,97484.54,75,441,847.05,Official (Quarter),14903,2,0,2
2025,12,Europe,Model Y,5817.0,6426.0,81936.8,100,576,502.59,Estimated (Region),4756,1,4,0
2024,3,North America,Cybertruck,8819.0,10002.0,100057.39,100,581,768.58,Official (Quarter),10965,3,0,2
2023,12,Europe,Model X,6937.0,7210.0,67171.73,100,598,622.25,Estimated (Region),3098,1,3,0
2020,9,North America,Model X,18338.0,20455.0,57277.16,60,358,984.75,Official (Quarter),13682,3,3,2
2022,6,Europe,Model 3,2499.0,2699.0,111361.87,82,488,182.93,Estimated (Region),6191,1,1,0
2022,12,Asia,Model X,6375.0,7256.0,59853.93,82,460,439.87,Estimated (Region),9697,0,3,0
2023,7,Asia,Model Y,15153.0,15547.0,73861.36,82,467,1061.47,Estimated (Region),7184,0,4,0
2023,3,North America,Model S,9070.0,9500.0,97403.35,100,574,780.93,Estimated (Region),14739,3,2,0
2022,4,North America,Cybertruck,7487.0,8565.0,107432.29,120,711,798.49,Official (Quarter),5066,3,0,2
2017,12,Asia,Model X,12561.0,12677.0,56465.24,75,418,787.57,Interpolated (Month),10142,0,3,1
2015,4,Asia,Model X,15110.0,15882.0,115153.01,100,592,1341.77,Estimated (Region),8147,0,3,0
2023,5,Europe,Model Y,10263.0,10424.0,110080.39,60,339,521.87,Estimated (Region),14655,1,4,0
2025,8,North America,Model S,15156.0,15346.0,61250.09,82,481,1093.51,Interpolated (Month),8176,3,2,1
2017,1,North America,Model 3,4481.0,4486.0,119847.46,60,350,235.25,Official (Quarter),12941,3,1,2
2022,9,Middle East,Model X,4364.0,4537.0,98157.4,60,353,231.07,Estimated (Region),6681,2,3,0
2021,8,North America,Model Y,12327.0,12708.0,80886.08,82,453,837.62,Interpolated (Month),12903,3,4,1
2025,11,Europe,Model S,11138.0,11508.0,65394.72,82,489,816.97,Estimated (Region),14449,1,2,0
2019,11,Asia,Model 3,9433.0,9586.0,111315.31,100,589,833.41,Official (Quarter),5017,0,1,2
2023,12,Middle East,Model Y,5348.0,5655.0,111013.18,100,568,455.65,Estimated (Region),14419,2,4,0
2021,11,North America,Model S,14807.0,14852.0,92314.23,82,462,1026.13,Interpolated (Month),13348,3,2,1
2021,8,Middle East,Model Y,13069.0,14212.0,87686.89,82,469,919.4,Official (Quarter),5511,2,4,2
2016,9,Europe,Model S,20337.625,20930.0,110072.39,100,590,1609.9825,Estimated (Region),9489,1,2,0
2018,2,Middle East,Model X,7551.0,7813.0,110788.67,82,488,552.73,Interpolated (Month),8035,2,3,1
2025,4,Middle East,Model S,6995.0,7039.0,97176.11,75,432,453.28,Interpolated (Month),8329,2,2,1
2023,11,Middle East,Model 3,10831.0,11502.0,79651.01,120,702,1140.5,Estimated (Region),14313,2,1,0
2021,1,Middle East,Model 3,2137.0,2277.0,68388.53,120,669,214.45,Official (Quarter),11269,2,1,2
2023,3,Asia,Model X,6987.0,7810.0,76386.5,82,455,476.86,Interpolated (Month),10605,0,3,1
2023,10,North America,Model S,10819.0,11416.0,99911.97,75,414,671.86,Interpolated (Month),7636,3,2,1
2018,2,North America,Model Y,11286.0,12786.0,115401.29,82,488,826.14,Estimated (Region),10624,3,4,0
2018,5,Europe,Model 3,14415.0,14504.0,84869.1,120,701,1515.74,Interpolated (Month),6027,1,1,1
2025,3,North America,Model X,4027.0,4228.0,117189.04,82,472,285.11,Official (Quarter),7808,3,3,2
2024,4,Middle East,Model 3,14574.0,16184.0,65092.63,75,427,933.46,Official (Quarter),9094,2,1,2
2025,1,Middle East,Cybertruck,4241.0,4551.0,63059.47,100,594,377.87,Official (Quarter),5982,2,0,2
2025,6,Europe,Model 3,10014.0,10848.0,107745.69,100,575,863.71,Estimated (Region),13997,1,1,0
2021,7,North America,Model 3,13236.0,13581.0,103253.15,120,660,1310.36,Estimated (Region),9693,3,1,0
2015,8,Europe,Model Y,6904.0,7092.0,113591.54,75,434,449.45,Estimated (Region),7810,1,4,0
2020,9,Asia,Model S,19989.0,21667.0,84048.35,60,345,1034.43,Official (Quarter),5116,0,2,2
2021,9,North America,Model S,11461.0,12063.0,81652.81,100,556,955.85,Interpolated (Month),3575,3,2,1
2021,9,North America,Model 3,9843.0,10987.0,89947.82,75,441,651.11,Estimated (Region),4798,3,1,0
2017,11,Asia,Model X,5590.0,5772.0,111185.02,60,337,282.57,Interpolated (Month),6158,0,3,1
2018,5,Middle East,Model Y,12023.0,12399.0,54099.57,75,433,780.89,Estimated (Region),10142,2,4,0
2025,2,Asia,Model 3,17456.0,19595.0,107746.29,120,674,1609.9825,Interpolated (Month),6883,0,1,1
2021,9,Europe,Model 3,6586.0,7232.0,79135.19,82,458,452.46,Official (Quarter),11269,1,1,2
2022,12,Asia,Model 3,14684.0,16136.0,74135.09,75,446,982.36,Interpolated (Month),6498,0,1,1
2017,12,North America,Model 3,20337.625,21930.125,61247.57,120,661,1609.9825,Official (Quarter),8388,3,1,2
2024,9,Middle East,Model Y,4620.0,5094.0,65088.03,82,468,324.32,Official (Quarter),5258,2,4,2
2018,11,North America,Model 3,10848.0,11734.0,61191.58,82,479,779.43,Estimated (Region),5010,3,1,0
2018,10,Europe,Model S,10672.0,11272.0,93493.14,120,703,1125.36,Official (Quarter),4327,1,2,2
2016,11,Asia,Cybertruck,14130.0,14923.0,61680.21,82,468,991.93,Estimated (Region),4711,0,0,0
2021,11,Asia,Model X,11543.0,12126.0,90984.02,75,424,734.13,Estimated (Region),4043,0,3,0
2023,7,North America,Model X,9697.0,10023.0,63662.22,82,457,664.73,Interpolated (Month),12325,3,3,1
2020,9,Europe,Model Y,10029.0,10380.0,78669.26,60,353,531.04,Official (Quarter),12254,1,4,2
2015,9,Europe,Model X,15086.0,15130.0,57287.6,100,589,1332.85,Official (Quarter),5142,1,3,2
2018,1,Asia,Model S,14330.0,16094.0,83414.53,100,567,1218.77,Interpolated (Month),7350,0,2,1
2022,5,North America,Model S,10488.0,10878.0,71290.87,60,353,555.34,Estimated (Region),6926,3,2,0
2020,6,Asia,Model S,7893.0,8803.0,68591.13,120,706,835.87,Interpolated (Month),5470,0,2,1
2015,2,Europe,Model 3,2324.0,2423.0,52582.09,120,696,242.63,Interpolated (Month),9032,1,1,1
2024,9,North America,Model X,9727.0,10872.0,83984.71,60,340,496.08,Interpolated (Month),3988,3,3,1
2022,1,Asia,Cybertruck,13491.0,15256.0,65094.78,60,332,671.85,Interpolated (Month),8794,0,0,1
2019,2,Middle East,Model X,2439.0,2652.0,111904.04,100,557,203.78,Official (Quarter),10173,2,3,2
2019,11,Middle East,Model 3,10763.0,10853.0,59952.7,75,414,668.38,Interpolated (Month),10510,2,1,1
2019,5,North America,Model S,6061.0,6255.0,78780.1,60,351,319.11,Estimated (Region),5609,3,2,0
2022,7,Asia,Model 3,10399.0,10848.0,61221.63,82,473,737.81,Interpolated (Month),9387,0,1,1
2021,7,Europe,Model 3,10432.0,11531.0,105489.24,82,476,744.84,Official (Quarter),4831,1,1,2
2023,8,Middle East,Cybertruck,12771.0,14425.0,76006.37,120,672,1287.32,Estimated (Region),12301,2,0,0
2015,3,North America,Model 3,6717.0,6811.0,75740.11,82,461,464.48,Estimated (Region),5927,3,1,0
2021,2,Middle East,Model S,10922.0,11681.0,91960.14,82,458,750.34,Official (Quarter),11899,2,2,2
2024,9,Asia,Model Y,4461.0,4515.0,50800.29,60,342,228.85,Interpolated (Month),7924,0,4,1
2022,12,North America,Model S,4719.0,5062.0,108112.41,82,489,346.14,Official (Quarter),10611,3,2,2
2021,5,Asia,Model Y,9545.0,9727.0,62297.06,120,717,1026.56,Official (Quarter),11318,0,4,2
2021,12,Middle East,Model X,13859.0,15058.0,73958.59,60,332,690.18,Estimated (Region),14913,2,3,0
2017,7,Europe,Cybertruck,6698.0,7530.0,105250.5,82,463,465.18,Interpolated (Month),13965,1,0,1
2019,9,Asia,Model X,15884.0,17515.0,64845.69,100,561,1336.64,Official (Quarter),6375,0,3,2
2015,2,Europe,Model Y,9861.0,11318.0,66943.87,100,583,862.34,Official (Quarter),12139,1,4,2
2016,11,North America,Model 3,3663.0,4115.0,116854.24,60,354,194.51,Estimated (Region),3018,3,1,0
2021,4,Asia,Model S,7580.0,8514.0,103847.54,60,347,394.54,Interpolated (Month),7046,0,2,1
2022,6,Middle East,Model Y,7532.0,8069.0,53119.9,82,490,553.6,Official (Quarter),11592,2,4,2
2017,1,Asia,Model Y,8033.0,8698.0,86411.89,60,334,402.45,Official (Quarter),12304,0,4,2
2020,3,Middle East,Model Y,14639.0,15788.0,58172.35,100,556,1220.89,Estimated (Region),9442,2,4,0
2020,6,North America,Model 3,7771.0,8856.0,56230.68,100,575,670.25,Interpolated (Month),14022,3,1,1
2023,12,Europe,Cybertruck,11128.0,12108.0,72255.75,100,577,963.13,Official (Quarter),11768,1,0,2
2020,6,North America,Cybertruck,4677.0,5097.0,55021.47,120,673,472.14,Estimated (Region),14177,3,0,0
2015,12,Middle East,Model 3,12570.0,12817.0,52276.83,120,715,1348.13,Estimated (Region),10399,2,1,0
2017,4,Asia,Model 3,10795.0,12043.0,95825.55,82,457,740.0,Estimated (Region),13510,0,1,0
2017,3,North America,Model S,9296.0,9376.0,117045.29,75,447,623.3,Official (Quarter),12422,3,2,2
2022,9,Middle East,Model S,9215.0,10246.0,92322.89,75,438,605.43,Official (Quarter),3220,2,2,2
2020,2,Asia,Model X,6932.0,7903.0,103644.59,75,437,454.39,Official (Quarter),12886,0,3,2
2019,9,Middle East,Model Y,13821.0,15702.0,56119.18,75,447,926.7,Interpolated (Month),12906,2,4,1
2018,1,North America,Model S,4526.0,4637.0,58160.82,60,346,234.9,Estimated (Region),13828,3,2,0
2018,1,Middle East,Model S,11796.0,12081.0,95948.67,100,598,1058.1,Estimated (Region),9746,2,2,0
2024,9,Middle East,Model S,11173.0,11333.0,76804.15,60,358,599.99,Interpolated (Month),10074,2,2,1
2015,3,Middle East,Model Y,5198.0,5319.0,67517.0,82,473,368.8,Interpolated (Month),11575,2,4,1
2017,8,Asia,Model 3,8032.0,8297.0,74536.44,75,426,513.24,Official (Quarter),3824,0,1,2
2019,12,North America,Model 3,13871.0,15499.0,115623.68,60,350,728.23,Estimated (Region),4870,3,1,0
2022,8,Asia,Cybertruck,13977.0,14076.0,76982.93,75,418,876.36,Estimated (Region),11344,0,0,0
2017,6,Asia,Model X,9474.0,9841.0,80408.23,120,703,999.03,Estimated (Region),3108,0,3,0
2020,6,North America,Model Y,3949.0,4020.0,55978.59,82,488,289.07,Official (Quarter),5323,3,4,2
2020,10,Europe,Model X,8875.0,9062.0,93578.46,75,420,559.12,Official (Quarter),9048,1,3,2
2024,8,North America,Model Y,9497.0,10344.0,118175.84,75,424,604.01,Estimated (Region),14077,3,4,0
2018,11,Middle East,Cybertruck,10631.0,11842.0,73717.64,75,448,714.4,Interpolated (Month),11855,2,0,1
2025,4,North America,Model S,14646.0,15998.0,70463.07,82,468,1028.15,Interpolated (Month),11480,3,2,1
2020,3,Europe,Cybertruck,5479.0,6104.0,99911.0,60,340,279.43,Estimated (Region),3635,1,0,0
2018,10,North America,Cybertruck,11286.0,12014.0,58339.85,120,690,1168.1,Interpolated (Month),7185,3,0,1
2020,4,Middle East,Cybertruck,13035.0,14421.0,107662.11,120,711,1390.18,Interpolated (Month),7981,2,0,1
2023,10,Asia,Model X,7375.0,8187.0,57285.32,60,353,390.51,Official (Quarter),9387,0,3,2
2025,7,Asia,Cybertruck,2723.0,2943.0,63830.92,75,428,174.82,Official (Quarter),9020,0,0,2
2022,3,North America,Model S,8256.0,9464.0,67978.21,75,429,531.27,Interpolated (Month),3360,3,2,1
2025,2,Middle East,Cybertruck,6699.0,7150.0,69494.44,75,447,449.17,Official (Quarter),13608,2,0,2
2019,10,North America,Model X,12891.0,14178.0,107586.02,120,660,1276.21,Estimated (Region),9504,3,3,0
2023,9,Asia,Model X,11694.0,12628.0,59652.92,60,347,608.67,Official (Quarter),6777,0,3,2
2017,12,Europe,Model 3,7124.0,7492.0,52107.27,82,490,523.61,Interpolated (Month),11014,1,1,1
2019,4,North America,Model X,9977.0,10879.0,65908.27,60,346,517.81,Estimated (Region),11339,3,3,0
2018,2,Europe,Model S,16810.0,18654.0,107713.01,100,557,1404.48,Official (Quarter),12995,1,2,2
2025,10,Asia,Cybertruck,3031.0,3438.0,110309.5,100,558,253.69,Official (Quarter),3311,0,0,2
2021,8,Asia,Model S,8848.0,9157.0,81735.94,120,691,917.1,Estimated (Region),12163,0,2,0
2017,2,Asia,Model Y,9235.0,10569.0,86332.26,100,583,807.6,Interpolated (Month),6742,0,4,1
2015,5,North America,Model 3,10974.0,12136.0,55694.41,120,665,1094.66,Estimated (Region),14839,3,1,0
2025,9,Europe,Model Y,6670.0,7585.0,78298.39,75,427,427.21,Official (Quarter),6633,1,4,2
2020,6,Europe,Model Y,5248.0,5703.0,117058.55,75,431,339.28,Estimated (Region),3994,1,4,0
2018,10,Asia,Cybertruck,1697.0,1724.0,116738.2,60,331,84.26,Estimated (Region),6571,0,0,0
2020,11,North America,Cybertruck,14412.0,14627.0,92292.18,60,333,719.88,Estimated (Region),3944,3,0,0
2025,10,Middle East,Cybertruck,10175.0,11339.0,61799.84,75,436,665.44,Estimated (Region),4027,2,0,0
2025,8,Asia,Model Y,8949.0,10002.0,91731.4,82,487,653.72,Official (Quarter),5063,0,4,2
2015,8,Asia,Model S,19783.0,19836.0,111048.67,82,489,1451.08,Estimated (Region),9781,0,2,0
2018,3,Asia,Cybertruck,8510.0,9702.0,98236.14,75,443,565.49,Official (Quarter),9674,0,0,2
2016,5,Europe,Cybertruck,13737.0,14494.0,78989.08,100,591,1217.79,Estimated (Region),11803,1,0,0
2015,1,Europe,Model 3,7597.0,8376.0,80810.67,75,417,475.19,Interpolated (Month),8942,1,1,1
2018,12,North America,Model Y,12145.0,13533.0,106826.47,120,680,1238.79,Interpolated (Month),8204,3,4,1
2022,5,Middle East,Model X,13056.0,14295.0,118320.97,75,424,830.36,Official (Quarter),8531,2,3,2
2018,1,Asia,Cybertruck,10761.0,11619.0,52286.13,82,470,758.65,Estimated (Region),7892,0,0,0
2018,10,Europe,Cybertruck,9910.0,10710.0,119449.49,75,444,660.01,Estimated (Region),4168,1,0,0
2016,12,Europe,Model Y,121.0,139.0,111622.03,100,581,10.55,Official (Quarter),9832,1,4,2
2015,10,North America,Model 3,13930.0,14805.0,76819.7,120,691,1443.84,Estimated (Region),3563,3,1,0
2015,9,North America,Cybertruck,14984.0,15332.0,62734.97,60,355,797.9,Interpolated (Month),14353,3,0,1
2016,11,Asia,Model 3,6535.0,7194.0,69276.68,82,463,453.86,Interpolated (Month),12467,0,1,1
2017,1,Asia,Model S,10239.0,10788.0,95347.22,75,417,640.45,Official (Quarter),13663,0,2,2
2021,6,Middle East,Model X,8154.0,9222.0,77649.32,120,680,831.71,Interpolated (Month),5487,2,3,1
2019,10,North America,Model Y,10447.0,11167.0,84927.76,100,553,866.58,Interpolated (Month),11213,3,4,1
2020,6,Asia,Model 3,7905.0,8286.0,82584.09,100,597,707.89,Official (Quarter),14180,0,1,2
2025,1,Europe,Model S,7178.0,7255.0,56599.32,60,347,373.61,Official (Quarter),3619,1,2,2
2019,8,Asia,Model 3,13675.0,14416.0,87435.96,120,719,1474.85,Official (Quarter),8694,0,1,2
2025,6,Middle East,Model 3,8280.0,8700.0,70543.5,75,420,521.64,Interpolated (Month),6188,2,1,1
2023,7,Asia,Model S,7598.0,8691.0,85168.2,60,357,406.87,Estimated (Region),11481,0,2,0
2022,8,Middle East,Model X,9804.0,10357.0,97058.41,60,353,519.12,Estimated (Region),9369,2,3,0
2022,12,Asia,Model S,15242.0,15254.0,118941.01,120,712,1609.9825,Interpolated (Month),13741,0,2,1
2021,11,Europe,Model X,4265.0,4364.0,111629.53,75,428,273.81,Official (Quarter),7945,1,3,2
2025,12,Europe,Model X,4553.0,4640.0,85847.27,82,462,315.52,Interpolated (Month),4933,1,3,1
2023,7,Middle East,Model X,15532.0,17175.0,90413.92,120,713,1609.9825,Estimated (Region),11403,2,3,0
2025,3,Europe,Model 3,4322.0,4811.0,106262.64,60,346,224.31,Estimated (Region),8862,1,1,0
2025,5,North America,Model S,7732.0,8655.0,70175.23,120,671,778.23,Interpolated (Month),14687,3,2,1
2016,5,Europe,Model X,8790.0,9863.0,93065.36,100,565,744.95,Interpolated (Month),10486,1,3,1
2016,11,North America,Model X,8067.0,8378.0,54166.73,120,696,842.19,Interpolated (Month),11239,3,3,1
2023,4,North America,Model Y,12566.0,13881.0,55756.33,60,342,644.64,Interpolated (Month),9711,3,4,1
2021,5,Middle East,Cybertruck,17149.0,17698.0,57385.96,120,700,1609.9825,Estimated (Region),10928,2,0,0
2018,6,Asia,Model X,10582.0,11794.0,86638.1,82,460,730.16,Official (Quarter),10998,0,3,2
2024,11,Europe,Cybertruck,15338.0,17247.0,109717.8,120,673,1548.37,Interpolated (Month),3777,1,0,1
2022,5,Middle East,Model Y,11881.0,13384.0,103321.99,60,331,589.89,Estimated (Region),14981,2,4,0
2020,11,Asia,Cybertruck,12449.0,13177.0,79104.24,82,470,877.65,Estimated (Region),7412,0,0,0
2020,1,North America,Model 3,9057.0,9716.0,104453.66,60,341,463.27,Interpolated (Month),8317,3,1,1
2021,2,North America,Model X,20337.625,21930.125,117528.33,120,664,1609.9825,Interpolated (Month),3641,3,3,1
2015,5,Europe,Model 3,12077.0,13820.0,76240.94,75,423,766.29,Interpolated (Month),13423,1,1,1
2020,11,North America,Model Y,9047.0,9698.0,76124.52,75,430,583.53,Estimated (Region),9949,3,4,0
2025,9,Middle East,Model X,12995.0,14883.0,97050.41,75,418,814.79,Interpolated (Month),4598,2,3,1
2018,3,Middle East,Model X,7292.0,7429.0,118540.61,120,700,765.66,Official (Quarter),13162,2,3,2
2025,4,Europe,Model X,8951.0,10171.0,86288.53,100,553,742.49,Estimated (Region),4323,1,3,0
2015,3,Asia,Cybertruck,10257.0,11441.0,65107.47,100,581,893.9,Interpolated (Month),4024,0,0,1
2023,8,Asia,Model Y,14192.0,14464.0,71868.41,120,690,1468.87,Interpolated (Month),10065,0,4,1
2020,5,Europe,Model X,8980.0,10325.0,70079.27,100,564,759.71,Interpolated (Month),4916,1,3,1
2022,10,Middle East,Cybertruck,6826.0,7781.0,106421.16,120,701,717.75,Estimated (Region),3060,2,0,0
2022,5,North America,Model Y,2178.0,2274.0,69609.39,100,557,181.97,Interpolated (Month),6470,3,4,1
2020,3,Europe,Model S,8370.0,8464.0,67525.11,120,700,878.85,Estimated (Region),13659,1,2,0
2015,6,Asia,Model Y,6828.0,7039.0,75498.89,100,575,588.91,Interpolated (Month),11284,0,4,1
2025,4,Middle East,Model X,11783.0,12535.0,95130.18,82,458,809.49,Official (Quarter),9726,2,3,2
2019,2,Europe,Model X,8777.0,8804.0,52410.19,75,429,564.8,Interpolated (Month),12799,1,3,1
2017,2,North America,Model 3,9462.0,10474.0,96646.98,60,358,508.11,Interpolated (Month),12132,3,1,1
2022,4,Asia,Model X,11546.0,13120.0,115939.4,100,553,957.74,Interpolated (Month),7828,0,3,1
2019,3,Europe,Cybertruck,11227.0,12883.0,53512.27,100,554,932.96,Interpolated (Month),11645,1,0,1
2019,12,Middle East,Model Y,11307.0,12778.0,80248.14,75,448,759.83,Estimated (Region),8426,2,4,0
2020,10,Asia,Cybertruck,10428.0,11120.0,116424.14,82,461,721.1,Interpolated (Month),9385,0,0,1
2017,6,Europe,Cybertruck,4694.0,5104.0,67717.11,120,687,483.72,Official (Quarter),14490,1,0,2
2018,3,Europe,Model Y,4731.0,5359.0,112698.3,60,338,239.86,Estimated (Region),5759,1,4,0
2015,1,Middle East,Model X,7419.0,8000.0,79927.87,75,413,459.61,Official (Quarter),4294,2,3,2
2019,5,North America,Model X,7479.0,7555.0,72183.29,82,461,517.17,Interpolated (Month),9071,3,3,1
2021,1,Europe,Model X,8424.0,8688.0,50824.59,75,449,567.36,Official (Quarter),6372,1,3,2
2024,1,Europe,Model Y,14668.0,16401.0,67771.88,82,482,1060.5,Official (Quarter),11255,1,4,2
2016,3,Europe,Model S,8700.0,9196.0,77917.59,60,347,452.83,Official (Quarter),9403,1,2,2
2016,10,Europe,Model Y,10758.0,11593.0,80129.92,82,463,747.14,Estimated (Region),8215,1,4,0
2020,7,Europe,Model Y,11723.0,11829.0,78933.97,60,346,608.42,Estimated (Region),8232,1,4,0
2021,4,Asia,Cybertruck,9368.0,10703.0,54428.39,120,696,978.02,Official (Quarter),3685,0,0,2
2017,10,Europe,Cybertruck,12490.0,13026.0,106184.82,120,719,1347.05,Estimated (Region),3360,1,0,0
2015,2,Asia,Model 3,18761.0,18875.0,91362.51,82,478,1345.16,Estimated (Region),3199,0,1,0
2020,8,North America,Model 3,9209.0,10291.0,77636.51,120,698,964.18,Interpolated (Month),4807,3,1,1
2018,1,North America,Model X,11056.0,12145.0,112887.05,60,341,565.51,Official (Quarter),6921,3,3,2
2018,12,Asia,Model 3,10896.0,10897.0,52748.55,120,718,1173.5,Interpolated (Month),5908,0,1,1
2023,3,Europe,Model X,7063.0,7817.0,90597.34,100,554,586.94,Official (Quarter),11327,1,3,2
2015,11,Asia,Cybertruck,4482.0,4968.0,84711.3,82,454,305.22,Interpolated (Month),5642,0,0,1
2023,4,Middle East,Model S,16873.0,17509.0,98627.02,60,353,893.43,Estimated (Region),5937,2,2,0
2019,11,North America,Cybertruck,15281.0,16012.0,113413.82,120,667,1528.86,Interpolated (Month),5142,3,0,1
2016,5,Europe,Model 3,7546.0,8329.0,54360.43,60,345,390.51,Estimated (Region),14960,1,1,0
2017,5,North America,Model S,12601.0,13161.0,100009.69,82,482,911.05,Official (Quarter),4230,3,2,2
2020,10,North America,Model Y,8952.0,9919.0,81113.6,100,562,754.65,Official (Quarter),5284,3,4,2
2019,7,Europe,Model 3,7642.0,8425.0,91557.92,75,440,504.37,Interpolated (Month),6713,1,1,1
2023,7,North America,Model Y,16150.0,16704.0,86864.96,60,343,830.92,Official (Quarter),9955,3,4,2
2016,6,North America,Model 3,10738.0,11306.0,70757.49,75,425,684.55,Official (Quarter),12295,3,1,2
2015,8,Europe,Model X,6084.0,6741.0,94880.33,60,350,319.41,Official (Quarter),9512,1,3,2
2023,7,Asia,Model X,6290.0,7032.0,73725.54,82,484,456.65,Interpolated (Month),4568,0,3,1
2023,11,North America,Model 3,7159.0,8085.0,109798.74,120,661,709.81,Official (Quarter),10314,3,1,2
2019,8,Europe,Model X,8803.0,9254.0,118696.83,60,348,459.52,Estimated (Region),7993,1,3,0
2018,7,Europe,Model Y,7992.0,8483.0,118475.45,100,559,670.13,Official (Quarter),12589,1,4,2
2019,1,Europe,Model 3,17693.0,18854.0,69372.79,60,346,918.27,Interpolated (Month),7164,1,1,1
2019,6,Asia,Model X,14693.0,16626.0,67022.6,82,473,1042.47,Estimated (Region),5309,0,3,0
2025,12,Asia,Cybertruck,7317.0,7883.0,74218.07,100,583,639.87,Interpolated (Month),14412,0,0,1
2015,8,Middle East,Model S,14376.0,16107.0,50324.24,60,340,733.18,Interpolated (Month),7778,2,2,1
2023,12,Europe,Model S,11217.0,11469.0,56297.71,75,433,728.54,Official (Quarter),4365,1,2,2
2022,6,Asia,Model S,2823.0,2893.0,78502.16,120,673,284.98,Official (Quarter),9417,0,2,2
2019,3,North America,Model X,11553.0,12761.0,55825.61,75,444,769.43,Estimated (Region),8766,3,3,0
2023,7,Asia,Cybertruck,8704.0,9162.0,108606.8,82,453,591.44,Estimated (Region),14308,0,0,0
2024,3,Middle East,Model 3,16656.0,17329.0,57011.85,100,567,1416.59,Interpolated (Month),7835,2,1,1
2015,9,Middle East,Model 3,11231.0,12298.0,68052.14,82,456,768.2,Interpolated (Month),13019,2,1,1
2025,8,Europe,Model 3,9675.0,9787.0,117180.88,60,356,516.64,Official (Quarter),12056,1,1,2
2025,5,Europe,Model Y,7394.0,7616.0,104198.24,75,439,486.89,Interpolated (Month),10619,1,4,1
2020,1,North America,Model Y,4504.0,4957.0,68860.76,60,338,228.35,Interpolated (Month),14200,3,4,1
2022,8,North America,Model X,11368.0,12014.0,73819.25,60,348,593.41,Estimated (Region),13691,3,3,0
2025,5,North America,Model 3,13243.0,13961.0,92096.33,120,696,1382.57,Official (Quarter),9725,3,1,2
2021,6,Asia,Model Y,8133.0,8592.0,75423.24,82,453,552.64,Interpolated (Month),11226,0,4,1
2021,11,Europe,Model S,6372.0,7058.0,64961.57,120,671,641.34,Estimated (Region),7953,1,2,0
2023,4,Asia,Model Y,5775.0,6270.0,109710.95,60,354,306.65,Official (Quarter),4586,0,4,2
2018,8,Middle East,Model S,14327.0,16335.0,71236.99,82,483,1037.99,Official (Quarter),12190,2,2,2
2024,11,Asia,Model Y,18216.0,18726.0,95843.37,82,466,1273.3,Estimated (Region),14789,0,4,0
2018,11,Middle East,Model Y,4439.0,4549.0,114154.24,100,566,376.87,Official (Quarter),7464,2,4,2
